Date,,Name,Type,Details
1-Jan,Wednesday,New Year's Day,National holiday,
6-Jan,Monday,Epiphany,National holiday,
10-Apr,Friday,Good Friday,National holiday,
1-May,Friday,Labor Day / May Day,National holiday,
15-Aug,Saturday,Assumption of Mary,National holiday,
12-Oct,Monday,Hispanic Day,National holiday,
8-Dec,Tuesday,Immaculate Conception,National holiday,
25-Dec,Friday,Christmas Day,National holiday,
