Date,,Name,Type,Details
1-Jan,Friday,New Year's Day,National holiday,
6-Jan,Wednesday,Epiphany,National holiday,
25-Mar,Friday,Good Friday,National holiday,
1-May,Sunday,Labor Day / May Day,National holiday,
2-May,Monday,Labor Day observed,National holiday,13 states
15-Aug,Monday,Assumption of Mary,National holiday,
12-Oct,Wednesday,Hispanic Day,National holiday,
1-Nov,Tuesday,All Saint's Day Holiday,National holiday,All
6-Dec,Tuesday,Constitution Day Holiday,National holiday,"All except AN, AR, CE, EX, LO, ML, MU, O, VC"
8-Dec,Thursday,Immaculate Conception,National holiday,
25-Dec,Sunday,Christmas Day,National holiday,
