Date,,Name,Type,Details
1-Jan,Monday,New Year's Day,National holiday,
6-Jan,Saturday,Epiphany,National holiday,
30-Mar,Friday,Good Friday,National holiday,
1-May,Tuesday,Labor Day / May Day,National holiday,
15-Aug,Wednesday,Assumption of Mary,National holiday,
12-Oct,Friday,Hispanic Day,National holiday,
1-Nov,Thursday,All Saint's Day Holiday,National holiday,All
6-Dec,Thursday,Constitution Day Holiday,National holiday,
8-Dec,Saturday,Immaculate Conception,National holiday,
25-Dec,Tuesday,Christmas Day,National holiday,
